,음식,남성 순위,여성 순위,남자-여자 순위 차이,abs(남자-여자 순위 차이),선호 성별
0,케잌,70.0,34.0,36.0,36.0,여
1,마늘,16.0,52.0,-36.0,36.0,남
2,불고기,36.0,70.0,-34.0,34.0,남
3,사과,57.0,24.0,33.0,33.0,여
4,콩나물,60.0,28.0,32.0,32.0,여
5,요구르트,48.0,17.0,31.0,31.0,여
6,스파게티,69.0,38.0,31.0,31.0,여
7,시리얼,61.0,31.0,30.0,30.0,여
8,고구마,76.0,47.0,29.0,29.0,여
9,돼지고기볶음,26.0,53.0,-27.0,27.0,남
10,단무지,12.0,37.0,-25.0,25.0,남
11,양파,32.0,56.0,-24.0,24.0,남
12,만두,45.0,21.0,24.0,24.0,여
13,멸치볶음,18.0,42.0,-24.0,24.0,남
14,고추,43.0,64.0,-21.0,21.0,남
15,빵,29.0,9.0,20.0,20.0,여
16,비빔밥,77.0,58.0,19.0,19.0,여
17,떡볶이,31.0,14.0,17.0,17.0,여
18,토마토,51.0,68.0,-17.0,17.0,남
19,토마토케챱,46.0,30.0,16.0,16.0,여
20,맥주,17.0,33.0,-16.0,16.0,남
21,햄버거,19.0,35.0,-16.0,16.0,남
22,간장,47.0,32.0,15.0,15.0,여
23,오이지/오이장아찌,58.0,43.0,15.0,15.0,여
24,김구이,27.0,12.0,15.0,15.0,여
25,된장찌개,25.0,39.0,-14.0,14.0,남
26,"소스, 카레",52.0,65.0,-13.0,13.0,남
27,열무김치,41.0,29.0,12.0,12.0,여
28,소금,56.0,44.0,12.0,12.0,여
29,치즈,74.0,62.0,12.0,12.0,여
30,미역국,40.0,51.0,-11.0,11.0,남
31,피자,30.0,40.0,-10.0,10.0,남
32,고추장,37.0,46.0,-9.0,9.0,남
33,달걀,54.0,45.0,9.0,9.0,여
34,상추,11.0,20.0,-9.0,9.0,남
35,쇠고기구이,62.0,54.0,8.0,8.0,여
36,수박,73.0,81.0,-8.0,8.0,남
37,고등어구이,42.0,50.0,-8.0,8.0,남
38,소주,28.0,36.0,-8.0,8.0,남
39,귤,34.0,27.0,7.0,7.0,여
40,삼겹살구이,33.0,26.0,7.0,7.0,여
41,우유,14.0,8.0,6.0,6.0,여
42,쵸컬릿,44.0,49.0,-5.0,5.0,남
43,샌드위치,23.0,18.0,5.0,5.0,여
44,젤리,78.0,73.0,5.0,5.0,여
